@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
48.280000000, -16.015000000, -15.823000000, -0.094900000, 59.570000000, 989.692600000, 50.410000000, 64.080000000, 51.750000000, -0.092600000, 50.932395387, -13.396000000, 0.032500000, -17.757000000, -15.015000000, 60.220000000, Q
53.920000000, -12.174000000, -16.037000000, -0.172000000, 54.700000000, 5228.967000000, 55.300000000, 46.140000000, 46.010000000, -0.680000000, 52.430130366, -14.377000000, 0.062500000, -13.434000000, -14.687000000, 42.350000000, Q
55.330000000, -15.248000000, -15.458000000, 0.002200000, 54.890000000, 1282.341900000, 63.730000000, 53.890000000, 51.180000000, -0.117500000, 51.919196679, -14.162000000, 0.203300000, -15.753000000, -17.333000000, 57.410000000, Q
51.360000000, -10.933000000, -14.547000000, -0.301700000, 53.980000000, 7424.267000000, 38.030000000, 35.380000000, 42.690000000, -0.736700000, 50.381912155, -13.929000000, -0.595800000, -8.572000000, -12.241000000, 49.660000000, F
37.740000000, -13.315000000, -14.301000000, 0.246700000, 46.690000000, 2815.849200000, 46.570000000, 54.430000000, 50.870000000, -0.662500000, 47.901092395, -11.548000000, -0.844500000, -14.851000000, -13.457000000, 47.410000000, P
50.350000000, -11.856000000, -16.168000000, -0.059200000, 54.970000000, 4751.890900000, 45.030000000, 59.720000000, 41.170000000, 0.035000000, 48.312474432, -14.927000000, -0.365300000, -16.627000000, -13.779000000, 41.280000000, P
45.480000000, -13.902000000, -11.812000000, -0.599700000, 36.960000000, 2361.222600000, 45.350000000, 50.510000000, 40.880000000, 0.130500000, 47.205482593, -12.102000000, -0.069600000, -16.203000000, -13.407000000, 37.440000000, V
47.860000000, -11.373000000, -16.506000000, 0.148300000, 56.560000000, 5636.358900000, 46.040000000, 62.850000000, 40.430000000, 0.134500000, 48.627424555, -13.119000000, 0.023900000, -18.507000000, -14.055000000, 40.310000000, P
51.690000000, -11.901000000, -16.586000000, 0.156500000, 56.730000000, 4604.121800000, 46.760000000, 59.970000000, 41.860000000, 0.060600000, 48.269260013, -14.559000000, -0.193100000, -17.084000000, -14.219000000, 39.400000000, P
48.120000000, -17.008000000, -12.151000000, 0.160200000, 42.750000000, 651.326000000, 54.990000000, 61.590000000, 60.020000000, 0.275900000, 49.297766447, -13.449000000, 0.022700000, -17.598000000, -14.956000000, 41.760000000, P
55.360000000, -17.247000000, -15.569000000, 0.071000000, 56.260000000, 591.927700000, 63.490000000, 39.730000000, 59.690000000, 0.078900000, 48.691760692, -14.875000000, -0.055500000, -11.710000000, -18.567000000, 52.300000000, Q
58.080000000, -15.577000000, -16.348000000, 0.195000000, 57.400000000, 1035.971300000, 53.330000000, 50.770000000, 52.400000000, -0.569500000, 47.433304717, -15.990000000, -0.060900000, -14.611000000, -14.350000000, 54.950000000, F
37.300000000, -16.584000000, -12.342000000, 0.349100000, 44.340000000, 746.964600000, 42.790000000, 37.970000000, 54.590000000, 0.258500000, 47.355284548, -10.069000000, 0.035000000, -11.509000000, -10.525000000, 54.190000000, V
35.980000000, -14.365000000, -12.225000000, -0.237500000, 42.860000000, 1899.071700000, 44.380000000, 52.090000000, 55.280000000, 0.013200000, 50.164360753, -11.121000000, -0.357800000, -14.249000000, -11.837000000, 43.240000000, V
42.440000000, -13.976000000, -11.480000000, -0.036200000, 42.540000000, 2317.194000000, 37.540000000, 41.700000000, 48.180000000, 0.176300000, 49.139290255, -11.300000000, -0.857100000, -12.185000000, -10.593000000, 37.580000000, V
37.300000000, -16.584000000, -12.342000000, 0.349100000, 44.340000000, 746.964600000, 42.790000000, 37.970000000, 54.590000000, 0.258500000, 47.355284548, -10.069000000, 0.035000000, -11.509000000, -10.525000000, 54.190000000, V
44.280000000, -13.477000000, -16.427000000, 0.266700000, 56.280000000, 2752.113800000, 57.030000000, 59.560000000, 42.360000000, -0.282600000, 46.334141589, -13.091000000, 0.123500000, -16.892000000, -16.793000000, 40.310000000, P
49.260000000, -16.816000000, -14.235000000, -0.266500000, 53.620000000, 674.944300000, 55.750000000, 46.530000000, 61.970000000, -0.106700000, 44.334366440, -12.811000000, -0.587700000, -13.606000000, -14.330000000, 47.530000000, V
46.230000000, -16.867000000, -16.931000000, -0.155800000, 56.680000000, 716.705800000, 39.410000000, 57.120000000, 56.320000000, -0.056400000, 51.199644257, -14.029000000, -0.669000000, -15.859000000, -12.308000000, 57.770000000, Q
50.110000000, -10.910000000, -14.625000000, -0.236800000, 54.050000000, 7490.346800000, 38.290000000, 35.300000000, 42.770000000, -0.655000000, 50.154489071, -13.642000000, -0.711500000, -8.504000000, -12.295000000, 49.990000000, F
58.320000000, -15.738000000, -16.366000000, -0.218300000, 59.220000000, 1060.668600000, 62.200000000, 53.470000000, 54.680000000, 0.313400000, 47.804791060, -16.533000000, -0.334500000, -14.958000000, -17.366000000, 53.450000000, F
54.840000000, -17.963000000, -15.481000000, -0.165700000, 51.640000000, 453.862900000, 52.700000000, 48.030000000, 60.400000000, -0.275600000, 48.072323121, -13.976000000, 0.141500000, -14.056000000, -15.335000000, 47.970000000, Q
58.740000000, -15.851000000, -14.011000000, 0.264600000, 49.270000000, 1022.688500000, 50.660000000, 47.600000000, 59.620000000, -0.589400000, 50.037175789, -16.622000000, -0.547800000, -13.897000000, -13.864000000, 51.860000000, P
34.560000000, -16.749000000, -15.911000000, 0.076500000, 54.880000000, 944.798700000, 45.770000000, 46.360000000, 56.460000000, 0.035900000, 52.127254957, -12.067000000, -0.449100000, -12.500000000, -13.289000000, 48.040000000, Q
48.120000000, -15.542000000, -12.694000000, -0.031600000, 43.810000000, 1108.425700000, 54.990000000, 62.620000000, 56.310000000, 0.354800000, 49.297766447, -13.449000000, 0.022700000, -17.839000000, -14.956000000, 44.540000000, P
